caldt,cpiind
19940331,346.4
19940630,348.2
19940930,351.5
19941230,352.2
19950331,356.2
19950630,358.8
19950929,360.5
19951229,361.2
19960329,366.4
19960628,368.7
19960930,371.3
19961231,373.2
19970331,376.5
19970630,377.2
19970930,379.3
19971231,379.5
19980331,381.6
19980630,383.5
19980930,384.9
19981231,385.6
19990331,388.2
19990630,391.1
19990930,395.1
19991231,396.0
20000331,402.8
20000630,405.6
20000929,408.7
20001229,409.4
20010330,414.6
20010629,418.8
20010928,419.5
20011231,415.8
20020328,420.7
20020628,423.3
20020930,425.9
20021231,425.6
20030331,433.4
20030630,432.2
20030930,435.8
20031231,433.6
20040331,440.9
20040630,446.4
20040930,446.8
20041231,447.8
20050331,454.8
20050630,457.6
20050930,467.8
20051230,463.1
20060331,470.1
20060630,477.4
20060929,477.4
20061229,474.8
20070330,483.2
20070629,490.2
20070928,490.6
20071231,494.2
20080331,502.4
20080630,514.9
20080930,514.8
20081231,494.7
20090331,500.5
20090630,507.5
20090930,508.2
20091231,508.1
20100331,512.1
20100630,512.9
20100930,514.0
20101231,515.7
20110331,525.8
20110630,531.1
20110930,533.9
20111230,531.0
20120330,539.7
20120629,539.9
20120928,544.5
20121231,540.2
20130328,547.7
20130628,549.4
20130930,550.9
20131231,548.4
20140331,556.0
20140630,560.8
20140930,560.1
20141231,552.5
20150331,555.6
20150630,561.5
20150930,559.9
20151231,556.5
20160331,560.3
20160630,567.1
20160930,568.1
20161230,568.1
20170331,573.6
20170630,576.4
20170929,580.8
20171229,580.1
20180329,587.2
20180629,592.9
20180928,594.0
20181231,591.1
20190329,598.1
20190628,602.7
20190930,604.1
20191231,604.6
20200331,607.3
20200630,606.6
20200930,612.4
20201231,612.9
20210331,623.2
20210630,639.3
20210930,645.4
20211231,656.0
