rate_env,lg_hp_mean,lg_hp_count,hg_hb_mean,hg_hb_count,diff,p_diff
"(9.0, 10.0)",9.304527417221925,49,4.790858426263974,60,-4.51366899095795,-48.510459355555405
"(8.5, 9.0)",25.913404835740646,37,20.259730730077443,63,-5.653674105663203,-21.8175656248208
"(8.0, 8.5)",22.867464365882903,88,20.402993768248347,186,-2.4644705976345556,-10.777192250975673
"(7.5, 8.0)",19.816549344834815,77,12.94670154881006,192,-6.8698477960247555,-34.66722523926893
"(7.0, 7.5)",16.447527705384204,117,9.200548207171751,282,-7.246979498212452,-44.0612086389136
"(6.5, 7.0)",16.138001685333407,222,8.365112382003192,440,-7.772889303330215,-48.16512883620776
"(6.0, 6.5)",16.968040048352712,218,9.08208079126226,212,-7.885959257090452,-46.47536919183565
"(5.5, 6.0)",16.627232842350242,219,7.110198970525474,208,-9.517033871824768,-57.2376291476745
"(5.0, 5.5)",17.53872577894144,257,7.505514186500515,298,-10.033211592440924,-57.206046316589855
"(4.5, 5.0)",16.96355944945383,183,13.464214156307825,173,-3.4993452931460034,-20.628602762132402
"(4.0, 4.5)",16.42365940752298,346,19.544190629407645,415,3.120531221884665,19.00021879688569
"(3.5, 4.0)",20.36248026790775,394,21.159208399502877,664,0.7967281315951276,3.912726353138865
"(3.0, 3.5)",23.057672482208545,316,27.521934225020523,495,4.464261742811978,19.36128525659575
"(2.5, 3.0)",29.857331477354595,46,46.062579298201726,92,16.20524782084713,54.275606757214916
"(2.0, 2.5)",30.173499858641016,177,61.04212014757769,286,30.868620288936675,102.3037447878178
